ID,Age,Gender,Marital,Ethnicity,Education,Occupation,WorkSector,ProfPosition,OrgTenure,WorkingHours,Income,BWAS_1,BWAS_2,BWAS_3,BWAS_4,BWAS_5,BWAS_6,BWAS_7,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,JSS_1,JSS_2,JSS_3,JSS_4,JSS_5,JSS_6,JSS_7,BBI_1,BBI_2,BBI_3,BBI_4,BBI_5,BBI_6,BBI_7,BBI_8,BBI_9
107,30,2,5,6,5,8,2,1,50,34,5,3,5,4,5,4,4,4,5,4,5,4,4,4,4,5,5,5,3,5,4,2,4,1,4,1,4,3,3,5,5,4,3,2,4,6
108,20,2,5,3,2,20,2,2,1,38,1,4,3,4,3,4,4,3,4,3,4,4,2,4,3,4,3,4,4,4,1,3,2,3,3,4,3,4,6,5,2,2,4,4,4,2
109,25,2,5,3,2,10,2,2,1,39,1,1,4,1,4,3,3,1,3,3,3,3,3,3,4,2,4,4,2,3,2,4,3,2,3,4,4,5,2,4,6,3,4,3,4,5
110,23,1,4,3,3,5,1,2,30,51,9,4,5,5,5,4,4,5,5,4,5,5,5,4,5,4,5,4,5,4,4,4,4,5,5,5,5,6,5,6,5,5,5,6,6,6
111,22,2,5,3,5,1,1,4,0,20,1,4,3,2,1,5,4,3,4,4,5,4,2,5,4,4,4,5,5,3,4,4,4,3,5,4,4,5,2,5,1,2,1,4,3,2
112,28,1,5,6,6,20,2,4,1,30,3,1,1,3,1,2,2,1,4,3,3,4,4,4,4,5,2,4,2,4,3,1,3,4,3,3,4,1,1,1,3,2,2,1,1,1
113,24,2,5,3,6,5,1,4,2,45,4,4,4,2,2,1,3,3,4,4,4,5,4,5,4,4,3,4,5,4,3,2,3,4,3,4,4,2,2,4,4,4,4,2,3,4
114,24,2,5,6,5,4,2,4,2,5,1,3,3,1,1,1,1,2,1,2,1,4,3,4,4,5,2,4,2,3,4,4,2,1,4,4,2,1,4,2,3,3,2,1,4,3
115,23,2,5,3,5,10,1,4,1,46,1,2,3,1,4,4,3,4,3,3,2,4,2,4,4,4,4,4,4,4,3,3,4,3,4,2,3,4,2,5,5,4,3,5,4,5
116,27,2,5,3,6,4,1,4,4,57,9,5,5,5,5,5,5,4,2,4,3,4,2,5,4,4,5,4,5,4,3,5,4,5,4,5,4,5,5,5,4,5,6,5,5,2
117,48,2,5,6,6,13,1,1,12,50,11,4,5,3,1,4,5,5,5,4,5,4,4,4,3,5,4,5,2,2,2,2,3,2,2,4,2,4,6,5,6,6,6,5,6,2
118,42,2,1,6,5,13,2,1,4,38,12,3,4,1,2,1,4,2,4,3,4,5,4,4,3,5,5,4,4,4,4,1,3,4,4,5,4,6,5,4,3,4,2,1,4,2
119,24,2,5,8,6,2,2,4,1,45,5,3,3,1,2,3,2,3,4,4,4,4,5,5,5,4,4,4,4,5,5,3,5,3,5,5,5,4,1,2,1,1,1,1,2,1
120,28,2,5,3,5,2,1,3,4,45,2,4,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,2,5,2,3,4,4,3
121,41,1,1,6,6,7,2,2,7,49,6,1,3,1,1,2,3,2,5,4,5,5,4,5,4,4,5,5,4,4,4,2,4,2,4,5,4,4,2,4,2,2,2,2,4,4
122,29,2,5,3,6,2,1,2,1,50,5,3,4,3,3,3,4,2,4,3,4,3,3,4,4,4,3,4,4,3,4,3,2,3,4,2,2,3,5,4,4,4,4,3,4,3
123,23,1,5,2,6,2,2,2,2,39,4,4,4,3,3,3,3,4,4,4,5,4,5,4,3,4,5,5,4,4,3,4,4,3,,4,3,4,1,4,4,4,5,5,6,6
